Date,Open,High,Low,Close*,Adj Close**,Volume
9/1/2021,"2,913.00","2,936.41","2,834.83","2,869.30","2,869.30","7,763,000"
8/1/2021,"2,709.69","2,929.79","2,683.67","2,909.24","2,909.24","18,615,200"
7/1/2021,"2,497.00","2,800.22","2,497.00","2,704.42","2,704.42","22,837,700"
6/1/2021,"2,422.00","2,555.92","2,382.83","2,506.32","2,506.32","27,432,800"
5/1/2021,"2,402.72","2,442.94","2,230.05","2,411.56","2,411.56","25,455,700"
4/1/2021,"2,097.95","2,452.38","2,096.89","2,410.12","2,410.12","30,724,700"
3/1/2021,"2,056.52","2,128.81","2,010.00","2,068.63","2,068.63","34,794,200"
2/1/2021,"1,853.57","2,152.68","1,850.93","2,036.86","2,036.86","29,429,000"
1/1/2021,"1,757.54","1,934.86","1,699.00","1,835.74","1,835.74","33,082,700"
12/1/2020,"1,774.37","1,847.20","1,699.00","1,751.88","1,751.88","31,465,900"
11/1/2020,"1,628.16","1,818.06","1,616.03","1,760.74","1,760.74","35,035,400"
10/1/2020,"1,484.27","1,687.00","1,436.00","1,621.01","1,621.01","39,254,200"
9/1/2020,"1,636.63","1,733.18","1,406.55","1,469.60","1,469.60","40,567,600"
8/1/2020,"1,486.64","1,659.22","1,458.65","1,634.18","1,634.18","37,830,900"
7/1/2020,"1,411.10","1,586.99","1,409.82","1,482.96","1,482.96","35,247,000"
6/1/2020,"1,418.39","1,475.94","1,347.01","1,413.61","1,413.61","38,828,400"
5/1/2020,"1,328.50","1,441.00","1,299.00","1,428.92","1,428.92","31,866,300"
4/1/2020,"1,122.00","1,359.99","1,079.81","1,348.66","1,348.66","46,335,100"
3/1/2020,"1,351.61","1,410.15","1,013.54","1,162.81","1,162.81","71,392,100"
2/1/2020,"1,462.00","1,532.11","1,271.00","1,339.33","1,339.33","37,080,600"
1/1/2020,"1,341.55","1,503.21","1,341.55","1,434.23","1,434.23","33,691,600"
12/1/2019,"1,301.00","1,365.00","1,279.00","1,337.02","1,337.02","27,357,100"
11/1/2019,"1,265.00","1,335.53","1,260.50","1,304.96","1,304.96","24,923,700"
10/1/2019,"1,219.00","1,299.31","1,162.43","1,260.11","1,260.11","28,758,300"
9/1/2019,"1,177.03","1,248.30","1,163.20","1,219.00","1,219.00","26,899,400"
8/1/2019,"1,214.03","1,234.11","1,140.14","1,188.10","1,188.10","28,882,400"
7/1/2019,"1,098.00","1,265.55","1,093.70","1,216.68","1,216.68","32,948,600"
6/1/2019,"1,065.50","1,124.11","1,025.00","1,080.91","1,080.91","34,096,800"
5/1/2019,"1,188.05","1,190.85","1,100.18","1,103.63","1,103.63","33,317,400"
4/1/2019,"1,184.10","1,289.27","1,175.00","1,188.48","1,188.48","27,855,200"
3/1/2019,"1,124.90","1,231.79","1,123.30","1,173.31","1,173.31","31,609,300"
2/1/2019,"1,112.40","1,147.00","1,086.00","1,119.92","1,119.92","28,932,700"
1/1/2019,"1,016.57","1,117.33","1,014.07","1,116.37","1,116.37","30,714,000"
12/1/2018,"1,123.14","1,124.65",970.11,"1,035.61","1,035.61","40,257,600"
11/1/2018,"1,075.80","1,095.57",996.02,"1,094.43","1,094.43","36,735,100"
10/1/2018,"1,199.89","1,209.96",995.83,"1,076.77","1,076.77","48,494,700"
9/1/2018,"1,204.27","1,212.99","1,146.91","1,193.47","1,193.47","28,862,400"
8/1/2018,"1,228.00","1,256.50","1,188.24","1,218.19","1,218.19","28,808,400"
7/1/2018,"1,099.00","1,273.89","1,093.80","1,217.26","1,217.26","31,940,100"
6/1/2018,"1,099.35","1,186.29","1,096.01","1,115.65","1,115.65","32,096,000"
5/1/2018,"1,013.66","1,110.75","1,006.29","1,084.99","1,084.99","31,849,400"
4/1/2018,"1,022.82","1,094.17",990.37,"1,017.33","1,017.33","41,715,900"
3/1/2018,"1,107.87","1,177.05",980.64,"1,031.79","1,031.79","45,353,300"
2/1/2018,"1,162.61","1,174.00",992.56,"1,104.73","1,104.73","42,382,000"
1/1/2018,"1,048.34","1,186.89","1,045.23","1,169.94","1,169.94","28,738,400"
12/1/2017,"1,015.80","1,078.49",988.28,"1,046.40","1,046.40","28,163,700"
11/1/2017,"1,017.21","1,062.38","1,013.01","1,021.41","1,021.41","24,265,500"
10/1/2017,959.98,"1,048.39",947.84,"1,016.64","1,016.64","31,779,700"
9/1/2017,941.13,959.79,909.7,959.11,959.11,"28,053,800"
8/1/2017,932.38,941.98,903.4,939.33,939.33,"27,958,000"
7/1/2017,912.18,986.2,894.79,930.5,930.5,"36,679,200"
6/1/2017,968.95,988.25,908.31,908.73,908.73,"43,587,600"
5/1/2017,901.94,979.27,901.45,964.86,964.86,"32,180,100"
4/1/2017,829.22,916.85,817.02,905.96,905.96,"25,218,700"
3/1/2017,828.85,853.5,803.37,829.56,829.56,"33,835,100"
2/1/2017,799.68,833.45,791.19,823.21,823.21,"25,683,600"
1/1/2017,778.81,841.95,775.8,796.79,796.79,"33,200,100"
12/1/2016,757.44,804.38,737.03,771.82,771.82,"32,097,300"
11/1/2016,782.89,795.63,727.54,758.04,758.04,"42,642,200"
10/1/2016,774.25,816.68,769.5,784.54,784.54,"33,956,300"
